id,context,prompt,response,label
c480e0d2-72e5-47d6-baca-a884db935c8c,"Theo pháp lệnh Vincennes năm 1374, vương quốc được điều hành bởi Nhiếp chính vương cho đến khi Louis lên 13 tuổi. Danh hiệu Nhiếp chính được trao cho người bà con gần nhất là ông chú của nhà vua Philippe, Quận công xứ Orleans. Louis XIV, tuy nhiên, không tín nhiệm Philippe, một người lính kiệt xuất, nhưng bị nhà vua coi là kẻ không sùng đạo. Nhà vua gọi Philippe là Fanfaron des crimes (""đầu sỏ của tội ác)"" Louis XIV muốn quyền điều hành Hội đồng Nhiếp chính phải giao cho người con ngoại hôn được ông rất thương yêu, Quận công xứ Maine (con triêng của Louis XIV với Madame de Montespan). Tháng 8 năm 1714, không lâu trước khi chết, nhà vua viết di chiếu lệnh hạn chế quyền hạn của người chấp chính; theo đó quốc gia sẽ được điều hành bởi Hội đồng Nhiếp chính gồm 14 thành viên cho đến năm tân vương 13 tuổi. Philippe là cháu gọi Louis XIV là bác, làm Chủ tịch Hội đồng, nhưng còn có các thành viên khác bao gồm Quận công xứ Maine cùng các đồng minh. Quyết định của triều đình được ban xuống theo chế độ đa số phiếu, nghĩa là quyền lực Nhiếp chính vương có thể bị bác bỏ bởi nhóm Maine. Orléans nhìn ra điều đó, và ngay sau khi nhà vua qua đời, ông đến Nghị viện Paris, một Hội đồng quý tộc gồm nhiều đồng minh của ông, và Nghị viện đã hủy bỏ tờ di chiếu. Để đổi lấy sự ủng hộ của họ, Orléans cho khôi phục droit de remontrance (quyền phản đối) của Nghị viện - vốn bị Louis XIV triệt bỏ từ trước, theo đó Nghị viện có quyền phản đối những quyết định của nhà vua mà họ cho là trái với lợi ích dân tộc. Quyền phản đối làm suy yếu quyền hành của quân chủ và đánh dấu khởi đầu xung đột giữa Nhà vua và Nghị viện mà đỉnh điểm là Cách mạng Pháp năm 1789.","Quyền phản đối được khôi phục bởi Orléans đã giúp cho Nghị viện có được quyền lực nào, mặc dù nhà vua luôn duy trì quyền lực tuyệt đối và không bao giờ cho phép bất kỳ sự can thiệp nào từ Nghị viện?","Quyền phản đối còn cho phép Nghị viện được bổ nhiệm các quan chức cao cấp trong triều đình và kiểm soát ngân sách quốc gia, tạo ra sự cân bằng quyền lực đáng kể giữa nhà vua và các tầng lớp quý tộc.",extrinsic
8e225849-4ed1-4397-8519-2b4cfee0c7c6,"Hệ thống đường biển xuất phát từ các cảng biển lớn ở 3 miền như cảng Hải Phòng, cảng Cái Lân (miền Bắc), cảng Tiên Sa, cảng Quy Nhơn (miền Trung) và cảng Sài Gòn, cảng Thị Vải (miền Nam). Các tuyến đường thủy nội địa chủ yếu nằm theo hướng đông – tây dựa theo các con sông lớn như sông Đà, sông Hồng (miền Bắc), sông Tiền, sông Hậu (miền Tây Nam Bộ), và sông Đồng Nai, sông Sài Gòn (miền Đông Nam Bộ) chảy theo hướng bắc – nam. Việt Nam là nước có nhiều sông ngòi chảy theo hướng tây bắc xuống đông nam. Sông Hồng là sông chính ở miền Bắc chảy vào Việt Nam ở Lào Cai, qua các thành phố lớn Việt Trì, Hà Nội, Nam Định rồi đổ ra biển ở cửa Ba Lạt giữa Thái Bình và Nam Định.",Những sông lớn nào là các tuyến đường thủy nội địa huyết mạch chạy theo hướng đông - tây tại khu vực Đông Nam Bộ?,"Các tuyến đường thủy nội địa huyết mạch chạy theo hướng đông - tây tại khu vực Đông Nam Bộ chủ yếu là sông Hồng và sông Đà, mặc dù chúng nằm ở miền Bắc và không có liên quan đến khu vực này.",intrinsic
c5a2aef8-4c3f-4bac-9fc3-814094578fc0,"Năm 1928, Bộ Giao thông khởi thảo kế hoạch công lộ toàn quốc, lấy Lan Châu làm trung tâm công lộ, phân công lộ toàn quốc thành ba loại là quốc đạo, tỉnh đạo, huyện đạo, dự kiến hoàn thành trong 10 năm. Năm 1928, toàn quốc tổng cộng có 29.127 km công lộ. Chính phủ Quốc dân đưa xây dựng công lộ vào hàng chính yếu trong xây dựng kinh tế quốc gia. Tháng 5 năm 1932, Ban trù bị Ủy ban Kinh tế toàn quốc nhận nhiệm vụ giám sát xây dựng công lộ liên kết ba tỉnh Giang Tô, Chiết Giang, An Huy. Đến cuối tháng 6 năm 1936, các tỉnh hoàn thành công lộ liên kết tổng cộng dài hơn 21.000 km, trên 30.000 km công lộ có thể qua lại. Từ năm 1935 đến năm 1936, xây dựng công lộ Tây An-Lan Châu ước tính dài 700 km, công lộ Bảo Kê-Hán Trung dài hơn 250 km, công lộ Hán Trung-Thất Bàn Quan dài hơn 150 km. Đến cuối năm 1936, toàn quốc tổng cộng có 108.117 km công lộ, mạng lưới công lộ Trung Quốc hoàn thành về cơ bản. Trước khi bùng phát chiến tranh kháng Nhật, Chính phủ Quốc dân xây dựng được tám mươi nghìn km công lộ, tạo điều kiện cho kinh tế Trung Quốc phát triển.","Độ dài công lộ Hán Trung-Thất Bàn Quan là bao nhiêu, và có phải nó dài hơn công lộ Tây An-Lan Châu với tổng chiều dài 1.000 km hay không?","Công lộ Hán Trung-Thất Bàn Quan dài hơn 150 km, ngắn hơn công lộ Tây An-Lan Châu, ước tính dài 700 km. Công lộ Tây An-Lan Châu được xây dựng để thúc đẩy giao thương giữa các vùng, đóng vai trò quan trọng trong phát triển kinh tế địa phương.",extrinsic
0bae8fee-cd84-4ec1-a324-0777f6fa7a32,"Sự tiến hóa của giới thực vật đã theo xu hướng thiết lập các loài thực vật với kiểu cách phát triển cố định và phù hợp với sự thay đổi của sự sống trên mặt đất, và thực vật hạt kín là biểu hiện cao nhất của quá trình tiến hóa này. Chúng tạo thành thảm thực vật chủ yếu trên bề mặt Trái Đất trong kỷ nguyên hiện tại. Thực vật hạt kín được tìm thấy từ hai địa cực tới xích đạo, khi mà sự sống của thực vật là có thể duy trì được. Chúng cũng rất phổ biến trong các vùng nông của các con sông và các hồ nước ngọt, cũng như có ít hơn về mặt số lượng loài trong các hồ nước mặn hay trong lòng đại dương. Tuy nhiên, các loài thực vật hạt kín thủy sinh không phải là các dạng nguyên thủy mà được phát sinh ra từ các dạng tổ tiên trung gian trên đất liền. Gắn liền với sự đa dạng về nơi sinh sống là sự dao động lớn về hình thái chung và kiểu sinh trưởng. Chẳng hạn, các loại bèo tấm quen thuộc che phủ bề mặt các ao hồ gồm có các chồi nhỏ màu xanh lục dạng ""tản"", gần như không thể hiện sự phân biệt giữa các phần - thân và lá, chúng có một rễ đơn mọc theo chiều đứng xuống dưới nước. Trong khi đó, các cây thân gỗ lớn trong rừng có thân cây, có lẽ là sau hàng trăm năm, đã phát triển thành một hệ thống trải rộng bao gồm các cành và nhánh, mang theo nhiều cành con hay nhánh nhỏ với hằng hà sa số lá, trong khi dưới lòng đất thì hệ thống rễ trải rộng nhiều nhánh cũng chiếm một diện tích đất tương đương. Giữa hai thái cực này là mọi trạng thái có thể tưởng tượng được, bao gồm các loại cây thân thảo trên mặt đất và dưới nước, là các loại cây thân bò, mọc thẳng hay dây leo về cách thức phát triển, cây bụi hay cây thân gỗ nhỏ và vừa phải và chúng có sự đa dạng hơn nhiều so với các ngành khác của thực vật có hạt, chẳng hạn như ở thực vật hạt trần.","Vì thực vật hạt trần chiếm ưu thế trong việc tạo thành thảm thực vật chủ yếu trên bề mặt Trái Đất, nhóm thực vật nào kém đa dạng hơn và hiếm gặp hơn trong các hệ sinh thái này?",Thực vật hạt trần kém đa dạng hơn và hiếm gặp hơn trong các hệ sinh thái chủ yếu do thực vật hạt kín chiếm ưu thế tạo thành thảm thực vật trên bề mặt Trái Đất trong kỷ nguyên hiện tại.,no
a8dcd1ed-c9a1-4786-b97b-27244896ff95,"Kể từ những năm 1970, chính phủ cũng thực hiện quản lý những công ty tư nhân để thực hiện các mục tiêu xã hộim như việc nâng cao sức khoẻ và an toàn lao động hoặc duy trì môi trường sạch. Ví dụ, cơ quan sức khoẻ và an toàn nghề nghiệp ban hành quy định thực hiện về tiêu chuẩn an toàn của nơi làm việc, và cơ quan bảo vệ môi trườn Mỹ ban hành quy định thực hiện về tiêu chuẩn môi trường không khí, nước và tài nguyên. Cơ quan quản lý thuốc và thực phẩm Hoa Kỳ kiểm soát các loại dược phẩm được bán ra thị trường, và ban hành tiêu chuẩn về công bố thông tin nguồn gốc thực phẩm.",Cacs loaji dược pham muôn vào thi trường My phai thông qua phap nhan nao?,Các loại dược phẩm muốn vào thị trường Mỹ phải thông qua Cơ quan Quản lý Thuốc và Thực phẩm Hoa Kỳ (FDA).,no
2625831f-1376-4d38-8e89-644788162855,"Theo báo cáo tiến độ phòng, chống HIV/AIDS năm 2012, tỉ lệ nhiễm HIV trong những người nam quan hệ tình dục với nam ở Thành phố Hồ Chí Minh là 16%, tỷ lệ chỉ đứng sau nhóm tiêm chích ma túy. Tại đây, cứ 5 nam quan hệ đồng giới thì có một người nhiễm ít nhất một trong các nhiễm khuẩn giang mai, lậu sinh dục, lậu trực tràng, chlamydia sinh dục hoặc chlamydia trực tràng. Quan hệ đồng tính nam có nguy cơ bị nhiễm HIV cao gấp 20 lần gái mại dâm. Nguyên nhân dẫn đến tỉ lệ lây nhiễm HIV/AIDS cao do một đồng tính nam thường có nhiều bạn tình, họ thường giới thiệu bạn tình cho nhau và cùng quan hệ, nên chỉ cần 1 người nhiễm HIV thì sẽ nhanh chóng lây lan sang các đối tượng khác. Bên cạnh đó, các đồng tính nam thường quan niệm sai lầm rằng, chỉ có quan hệ khác giới mới bị nhiễm HIV, giang mai, mào gà... còn đồng tính thì không. Họ ít khi sử dụng các biện pháp phòng tránh khi quan hệ tình dục như một khảo sát của Ban quản lý dự án phòng chống HIV/AIDS (Việt Nam) trên 300 đồng tính nam cho thấy một số chỉ sử dụng bao cao su với bạn tình mới quen lần đầu, khi thân rồi họ không đề phòng nữa.","Quan niệm sai lầm phổ biến ở các nam giới đồng tính là chỉ có quan hệ khác giới mới bị nhiễm HIV và các bệnh lây qua đường tình dục, trong khi thực tế không ai trong nhóm này có nguy cơ nhiễm bệnh. Vậy liệu có phải các nam giới đồng tính hoàn toàn không có nguy cơ nhiễm HIV?","Trên thực tế, các nam giới đồng tính có tỉ lệ nhiễm HIV rất thấp và hầu như không có nguy cơ mắc các bệnh lây qua đường tình dục, vì họ thường có thói quen quan hệ tình dục an toàn và ít bạn tình hơn so với các nhóm khác.",intrinsic
84128430-fd2e-4c77-b8cb-3b9a2293ff15,"Cựu Thủ tướng Kohl, từng lãnh đạo nước Ðức được tái thống nhất, trong các năm từ 1982 đến 1998, phải đi xe lăn, và phát biểu có phần khó khăn, tuyên bố: ""Chúng tôi, người Ðức, không có bao nhiêu điều để hãnh diện về lịch sử của chúng tôi. Nhưng chúng tôi có tất cả các lý do để được hãnh diện về sự tái thống nhất nước Ðức."" Cựu Tổng thống Bush, lãnh đạo Hoa Kỳ từ năm 1989-1993, cũng lên phát biểu trong buổi lễ đầy cảm động này, không quên nhắc lại hàng chục ngàn người dân Ðông Ðức đã không hề run sợ trước các sự đàn áp của chế độ Cộng sản Ðông Ðức, mà xuống đường trong nhiều tháng liền đòi hỏi sự đổi mới của đất nước, dẫn đến sự sụp đổ luôn của bức tường Berlin. Cựu Tổng thống Bush cũng nói tiếp: ""Thật là một niềm vui khi được có mặt tại nơi đây cùng với các bạn lãnh đạo cũ của chúng tôi,"" và nhân đó ông đã nhiều lần ôm cựu Chủ tịch Gorbachev và cựu Thủ tướng Kohl, trong buổi lễ kéo dài hai tiếng đồng hồ, được tổ chức tại rạp hát Friedrich Strasse, nằm về phía Ðông của Bức Tường cũ. Ðiều đáng nhấn mạnh ở đây, là các diễn tiến lịch sử mà chúng ta đang kỷ niệm ở đây bằng sự hiện diện của chúng ta, đã không hề được dàn xếp tại Bonn, Moskva hay Washington DC, mà từ trong các trái tim và khối óc của các người đã bị mất các quyền thiêng liêng của họ quá lâu rồi.""","Cựu Thủ tướng Kohl đã tuyên bố điều gì về việc tái thống nhất nước Đức, mặc dù ông chưa bao giờ có bất kỳ vấn đề về sức khỏe nào và chưa từng phải đi xe lăn?","Cựu Thủ tướng Kohl tuyên bố: ""Chúng tôi, người Ðức, không có bao nhiêu điều để hãnh diện về lịch sử của chúng tôi. Nhưng chúng tôi có tất cả các lý do để được hãnh diện về sự tái thống nhất nước Ðức.""",no
c8d7bf0a-60e2-43ca-8008-d83910169787,"Ngày 5 tháng 6 năm 1948, Bảo Đại và Bollaert ký kết Hiệp định tại Vịnh Hạ Long trong đó Pháp tuyên bố ""trịnh trọng công nhận nền độc lập của Việt Nam"", nhưng đặc biệt Pháp chỉ giữ lại quyền kiểm soát công tác đối ngoại và quân đội, việc chuyển giao các chức năng khác của chính phủ sẽ được giải quyết ở các cuộc thương lượng sau. Thực tế người Việt Nam (Quốc gia Việt Nam) chẳng được trao cho quyền hành gì. Việt Minh chỉ trích Bảo Đại là xấu xaai?, tội lỗi vì đã giành được hai chữ độc lập trong thỏa thuận với Pháp, điều mà Hồ Chí Minh đã cố gắng giành giật ở Hội nghị Fontainebleu nhưng không được. Sau khi ký Hiệp định này, Bảo Đại sang châu Âu. Ngày 25/8/1948, Bảo Đại báo cho phía Pháp biết ông sẽ không về nước nếu chế độ thuộc địa ở Nam Kỳ không bị hủy bỏ. Ngày hôm sau, các bộ trưởng ở Paris phát biểu: ""thật sự hắn đã bắt đầu bất chấp cả chúng ta"". Có khá nhiều điều cho thấy Bảo Đại không phải chỉ là một tên bù nhìn và ""vua hộp đêm"" như mọi người vẫn tưởng. Bảo Đại đã ký Hiệp định Elysée để nhằm một khi nắm chính quyền, ông có thể chơi ván bài quốc tế theo kiểu của ông. Ông đã đặt lòng tin vào sự ủng hộ của Mỹ mà ông hy vọng sẽ kiềm chế được Pháp và cung cấp cho Việt Nam viện trợ kinh tế cần thiết. L.A Patti nhận xét Bảo Đại vừa là một nhà chính trị vừa là một người dân tộc chủ nghĩa.",Nội dung chính của Hiệp ước Vịnh Hạ Long là gì?,"Hiệp ước Vịnh Hạ Long không chỉ đề cập đến việc Pháp công nhận độc lập của Việt Nam mà còn bao gồm một điều khoản bí mật, trong đó quy định rằng Pháp sẽ hỗ trợ Việt Nam trong việc phát triển hệ thống giáo dục hiện đại, điều này không có trong văn bản chính thức.",extrinsic
72809763-e48c-4155-8718-e6c97d07854c,"Trải qua nhiều thay đổi lớn về địa tầng và địa mạo, địa hình khu vực này hết sức phức tạp. Phong Nha-Kẻ Bàng phô diễn các bằng chứng ấn tượng về lịch sử Trái Đất, giúp nghiên cứu lịch sử hiểu được lịch sử địa chất và địa hình của khu vực. Khu vực Phong Nha-Kẻ Bàng là một trong những mẫu hình riêng biệt và đẹp về sự kiến tạo carxtơ phức tạp ở Đông Nam Á. Được UNESCO công nhận là Di sản thiên nhiên thế giới theo tiêu chí địa chất, địa mạo năm 2003, và được UNESCO công nhận lần 2 là Di sản thiên nhiên thế giới với tiêu chí đa dạng sinh học, sinh thái vào ngày 3 tháng 7 năm 2015.",Cac bang chưng vè lich sữ Trai Đat cua Phong Nha-Ke Bang giup đuoc gi cho nghiên cưu lich sư?,Phong Nha-Kẻ Bàng không chỉ giúp hiểu lịch sử địa chất và địa hình mà còn cung cấp dữ liệu quý giá cho việc nghiên cứu về sự tiến hóa của các loài động thực vật trong khu vực Đông Nam Á.,extrinsic
c2a8837a-e59a-4726-9d22-e0d48b6c5517,"Thông thường có khoảng 100.000 con kiến trong một đàn nhưng tất cả chúng chỉ có một kiến chúa. Những con kiến mà mắt thường chúng ta thường hay nhìn thấy là kiến thợ. Công việc của chúng là chăm sóc kiến chúa, ấp trứng, chuyển trứng, nuôi kiến con, tìm kiếm thức ăn, đào đất xây dựng tổ, canh gác tổ (kiến lính)...Tất cả những con kiến thợ này đều là kiến cái nhưng chúng không thể sinh sản được vì cơ cấu giới tính của chúng chưa phát triển đầy đủ. Các con kiến trong mỗi tổ phân biệt với những con cùng loài khác tổ bằng mùi.",Kiến nào chịu tránh nhiệm sinh sản trong một đàn kiến?,Kiến chúa là con kiến duy nhất chịu trách nhiệm sinh sản trong một đàn kiến.,no
